Ranking,Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption,Year,GDP_Growth,Inflation,Unemployment
145,Burkina Faso,Sub-Saharan Africa,3.739,9.68359,0.53288,53,0.54841,0.29709,0.24807,2016,2.9035090911533,2.60429919226561,4.598
150,Liberia,Sub-Saharan Africa,3.622,7.64019,0.42554,54,0.42316,0.29355,0.09604,2016,-3.54590251888713,6.97295697153928,3.081
106,Zambia,Sub-Saharan Africa,4.795,9.96247,0.53885,54,0.70112,0.21795,0.22721,2016,0.593979723633794,13.5761011694227,5.244
155,Togo,Sub-Saharan Africa,3.303,9.51589,0.0,54,0.56991,0.21369,0.22935,2016,1.62761006802251,1.45775670689166,2.968
142,Niger,Sub-Saharan Africa,3.856,5.01702,0.51155,55,0.62517,0.25582,0.33999,2016,1.92620628769158,1.79272146557585,0.55
136,Haiti,Latin America and Caribbean,4.028,9.99461,0.24983,55,0.1984,0.58506,0.28653,2016,0.398402974127237,15.7032145295515,13.902
130,Mauritania,Sub-Saharan Africa,4.201,9.67499,0.7111,56,0.20839,0.27676,0.3554,2016,-1.72979667450247,11.2101297440599,10.287
132,Malawi,Sub-Saharan Africa,4.156,7.72189,0.12423,56,0.68088,0.37779,0.14971,2016,-0.256367435160101,20.2926829285911,5.011
124,Ghana,Sub-Saharan Africa,4.276,9.28626,0.41709,56,0.67337,0.25867,0.06453,2016,1.04704406736222,15.7486203078991,5.256
133,Sudan,Sub-Saharan Africa,4.139,9.99269,0.69239,56,0.0,0.22053,0.1987,2016,0.369473161527822,20.6855877306245,13.656
138,Comoros,Sub-Saharan Africa,3.956,9.80559,0.5098,56,0.25328,0.22289,0.36493,2016,1.22276485365785,1.71503276564016,4.117
122,Kenya,Sub-Saharan Africa,4.356,9.94645,0.64432,56,0.66683,0.50418,0.13234,2016,1.93794795580835,5.84962894648808,2.757
152,Rwanda,Sub-Saharan Africa,3.515,9.55183,0.52048,57,0.89271,0.28732,1.0,2016,3.48878829333981,5.03012214050614,11.788
115,Ethiopia,Sub-Saharan Africa,4.508,9.21583,0.32057,58,0.60319,0.36015,0.33986,2016,6.5099145630674,10.3979572690542,2.556
113,Namibia,Sub-Saharan Africa,4.574,9.98753,0.59464,58,0.79893,0.09509,0.20581,2016,-2.62833210419717,7.96867201225912,23.352
137,Botswana,Sub-Saharan Africa,3.974,9.97103,0.75374,58,0.72458,0.15158,0.21317,2016,5.69319455388396,11.9049111318198,19.328
134,Gabon,Sub-Saharan Africa,4.121,9.93276,0.6116,58,0.46176,0.07617,0.18436,2016,-0.79183198007,-4.26975397974572,20.117
149,Tanzania,Sub-Saharan Africa,3.666,9.57975,0.65601,59,0.52196,0.38394,0.10093,2016,3.30400665890222,7.47203366759727,1.931
148,Madagascar,Sub-Saharan Africa,3.695,9.92691,0.38973,59,0.22488,0.26887,0.14857,2016,1.31063593376801,8.96008072992041,1.949
119,Myanmar,Southeast Asia,4.395,9.78674,0.59143,60,0.70161,1.0,0.40069,2016,5.02652118853597,3.61567809530786,1.058
92,Pakistan,South Asia,5.132,9.93634,0.22088,60,0.2403,0.38043,0.27475,2016,5.19506859858923,0.922163326262009,2.285
128,Senegal,Sub-Saharan Africa,4.219,9.91461,0.65426,61,0.51038,0.23305,0.23121,2016,3.23503572393487,0.955649520089025,4.455
140,Cambodia,Southeast Asia,3.907,9.90401,0.45425,61,0.96719,0.49211,0.16018,2016,6.34300627617029,1.58007480575829,0.716
65,Turkmenistan,Commonwealth of Independent States,5.658,9.91722,0.87739,62,0.61477,0.2753,0.56347,2016,3.79096200658724,-4.86560287903114,4.026
118,India,South Asia,4.404,9.99974,0.24718,62,0.66205,0.30533,0.17265,2016,6.97394690929247,3.23797495080767,7.611
52,Belize,Latin America and Caribbean,5.956,9.76528,0.58022,63,0.84195,0.28893,0.2132,2016,-2.31386521552362,2.13988044008869,7.0
59,Bolivia,Latin America and Caribbean,5.822,9.72997,0.70803,63,0.83751,0.2647,0.15332,2016,2.7222071569043,-1.35487058059006,3.498
82,Philippines,Southeast Asia,5.279,9.67256,0.74267,63,0.90149,0.26441,0.23271,2016,5.7212148588973,1.28031174373962,2.695
79,Indonesia,Southeast Asia,5.314,9.96273,0.74054,64,0.64483,0.68953,0.00638,2016,3.91054275495577,2.43892408688207,4.301
84,Bhutan,South Asia,5.196,9.88423,0.76768,64,0.75719,0.59223,0.31987,2016,7.42464056841786,4.04891299347933,2.707
107,Nepal,South Asia,4.793,9.34497,0.58904,64,0.60826,0.46553,0.13872,2016,-0.0405110299060141,7.15033478751282,10.714
49,Uzbekistan,Commonwealth of Independent States,5.987,9.92666,0.98719,64,1.0,0.41876,0.56081,2016,4.11984456589953,8.93036849321503,5.16
40,Suriname,Latin America and Caribbean,6.269,9.82217,0.65807,65,0.85843,0.2033,0.25123,2016,-5.90338246401519,24.0693638258796,7.917
112,Iraq,Middle East and North Africa,4.575,9.95884,0.50035,65,0.40849,0.23897,0.2699,2016,11.0984155585203,-11.1041709203303,10.82
67,Libya,Middle East and North Africa,5.615,9.97807,0.80351,65,0.66842,0.20845,0.20465,2016,-2.98083261952721,4.69231431810404,19.559
55,Moldova,Western Europe,5.897,9.96358,0.70257,65,0.41419,0.24396,0.03767,2016,5.87017576429136,3.5508738308871,1.591
43,Trinidad and Tobago,Latin America and Caribbean,6.168,9.89094,0.83303,65,0.79629,0.38959,0.02456,2016,-7.82511237114002,-0.459584415470857,3.207
110,Bangladesh,South Asia,4.643,9.70737,0.20916,66,0.65372,0.2334,0.24907,2016,6.16181560014782,27.8507377248339,4.35
100,Tajikistan,Commonwealth of Independent States,4.996,9.19796,0.63893,66,0.71338,0.31716,0.26739,2016,4.2256886170877,0.541389756844993,7.036
